Timestamp,Mention your age.,How often do you have Maggi?,What's your quantity of consumption  at a time?,Which noodle brand would you prefer after Maggi?,Do you add other ingredients to your Maggi?,"If Yes, then which ingredients?",Do you consider Maggi noodles as your Go-To meal?  ,Did Lead controversy brought decline in your consumption pattern of Maggi?,Do you find nutritive value in Maggi?,Would you prefer a pack of quantity more than 1 pkt and less than 2 pkts i.e. the pack  costing Rs.15/- for a single meal?,Do you prefer buying Maggi Masala-ae-Magic with Maggi noodles? ,Would you want Maggi to increase its tastemaker size at the cost of increased price?  
2021/06/07 9:38:40 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,"Sauces;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 9:43:34 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.)",Yes,"Yes, It did",No,No,No,Yes
2021/06/07 9:44:47 PM GMT+5:30,18-26,Once in two weeks,2 PKTS,Yippee,Yes,"Spices(oregano, chili flakes, etc.);Other",No,"Yes, It did",No,No,Yes,Yes
2021/06/07 9:45:18 PM GMT+5:30,18-26,Less often,2 PKTS,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"Yes, It did",No,No,Yes,Yes
2021/06/07 9:45:22 PM GMT+5:30,18-26,More than once in a week,2 PKTS,Yippee,No,Cream/Cheese,Yes,"No, It's still the same",No,Yes,No,No
2021/06/07 9:46:34 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies,No,"No, It's still the same",No,No,No,Yes
2021/06/07 9:47:09 PM GMT+5:30,18-26,Once in a month,2 PKTS,Top Ramen,No,,No,"Yes, It did",No,Yes,No,No
2021/06/07 9:47:18 PM GMT+5:30,18-26,Once in a month,1 PKT,Knorr,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,No
2021/06/07 9:53:26 PM GMT+5:30,18-26,Once in a week,2 PKTS,Yippee,Yes,"Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",Yes,No,Yes,Yes
2021/06/07 9:56:07 PM GMT+5:30,18-26,Once in a week,1 PKT,Ching's,Yes,Veggies,Yes,"Yes, It did",No,No,Yes,No
2021/06/07 9:56:10 PM GMT+5:30,18-26,Once in a week,1 PKT,Knorr,No,,No,"No, It's still the same",Yes,Yes,Yes,Yes
2021/06/07 9:58:32 PM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,,No,"Yes, It did",No,No,No,Yes
2021/06/07 9:59:06 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Other,Yes,"Sauces;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 9:59:41 PM GMT+5:30,18-26,Once in two weeks,2 PKTS,Knorr,Yes,"Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,No,No,No
2021/06/07 9:59:44 PM GMT+5:30,18-26,Once in a month,1 PKT,Other,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/07 10:00:03 PM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"No, It's still the same",No,No,Yes,Yes
2021/06/07 10:01:49 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Top Ramen,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 10:04:42 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies;Cream/Cheese;Other,No,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 10:05:14 PM GMT+5:30,18-26,Once in a month,1 PKT,Ching's,Yes,Veggies,No,"Yes, It did",No,No,No,Yes
2021/06/07 10:05:49 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,No,No
2021/06/07 10:06:25 PM GMT+5:30,18-26,Once in a month,1 PKT,Yippee,No,,Yes,"No, It's still the same",Yes,Yes,No,Yes
2021/06/07 10:06:44 PM GMT+5:30,18-26,Less often,1 PKT,Other,Yes,Veggies,No,"Yes, It did",No,No,No,No
2021/06/07 10:10:33 PM GMT+5:30,18-26,Once in a month,1 PKT,Ching's,Yes,Veggies,No,"No, It's still the same",No,Yes,No,No
2021/06/07 10:11:16 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 10:12:15 PM GMT+5:30,18-26,Once in a week,1 PKT,Top Ramen,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,No,Yes
2021/06/07 10:12:44 PM GMT+5:30,18-26,More than once in a week,2 PKTS,Top Ramen,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 10:15:15 PM GMT+5:30,18-26,Less often,1 PKT,Other,Yes,"Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"Yes, It did",No,Yes,Yes,No
2021/06/07 10:17:54 PM GMT+5:30,Above 26,Less often,1 PKT,Other,Yes,"Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,No,No,Yes
2021/06/07 10:18:03 PM GMT+5:30,15-18,Once in two weeks,1 PKT,Ching's,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,No,Yes
2021/06/07 10:18:40 PM GMT+5:30,15-18,Once in two weeks,1 PKT,Yippee,Yes,Veggies;Sauces,Yes,"No, It's still the same",No,No,Yes,Yes
2021/06/07 10:19:00 PM GMT+5:30,15-18,Once in a month,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",No,"Yes, It did",Yes,No,Yes,No
2021/06/07 10:19:32 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Knorr,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.)",Yes,"Yes, It did",No,Yes,Yes,No
2021/06/07 10:20:07 PM GMT+5:30,18-26,Once in two weeks,2 PKTS,Yippee,No,Sauces,No,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 10:20:11 PM GMT+5:30,Above 26,Less often,2 PKTS,Yippee,No,,Yes,"No, It's still the same",No,No,No,No
2021/06/07 10:20:32 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies;Sauces,Yes,"No, It's still the same",No,Yes,Yes,No
2021/06/07 10:24:46 PM GMT+5:30,18-26,More than once in a week,More than 2 PKTS,Top Ramen,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,No,Yes,Yes
2021/06/07 10:25:28 PM GMT+5:30,18-26,Once in a week,2 PKTS,Knorr,Yes,Veggies,Yes,"No, It's still the same",No,Yes,No,No
2021/06/07 10:33:01 PM GMT+5:30,18-26,Once in a week,1 PKT,Other,Yes,"Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,Yes,Yes,No
2021/06/07 10:35:04 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 10:52:54 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies,No,"No, It's still the same",No,No,Yes,No
2021/06/07 10:58:05 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Knorr,Yes,"Spices(oregano, chili flakes, etc.)",No,"Yes, It did",No,Yes,Yes,Yes
2021/06/07 10:59:05 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,No,Cream/Cheese,No,"No, It's still the same",No,No,Yes,No
2021/06/07 11:04:29 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies;Sauces;Cream/Cheese,Yes,"No, It's still the same",No,Yes,No,No
2021/06/07 11:05:11 PM GMT+5:30,18-26,More than once in a week,2 PKTS,Ching's,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese;Other",Yes,"No, It's still the same",Yes,Yes,Yes,Yes
2021/06/07 11:05:26 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,"Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,No,Yes
2021/06/07 11:13:24 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Knorr,Yes,"Spices(oregano, chili flakes, etc.);Other",Yes,"No, It's still the same",No,Yes,Yes,No
2021/06/07 11:29:44 PM GMT+5:30,18-26,Less often,1 PKT,Top Ramen,No,,No,"Yes, It did",No,No,No,Yes
2021/06/07 11:30:57 PM GMT+5:30,18-26,Once in two weeks,2 PKTS,Yippee,No,Cream/Cheese,No,"No, It's still the same",Yes,Yes,Yes,No
2021/06/07 11:42:36 PM GMT+5:30,18-26,Once in a month,2 PKTS,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 12:11:27 AM GMT+5:30,18-26,Once in a week,More than 2 PKTS,Yippee,No,Veggies,No,"No, It's still the same",No,No,No,Yes
2021/06/08 1:32:36 AM GMT+5:30,18-26,Less often,1 PKT,Other,No,,No,"No, It's still the same",No,No,No,No
2021/06/08 4:11:08 AM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,"Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 5:31:14 AM GMT+5:30,18-26,Less often,1 PKT,Yippee,No,,No,"No, It's still the same",No,No,No,No
2021/06/08 6:13:28 AM GMT+5:30,18-26,Less often,2 PKTS,Ching's,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,Yes,Yes,No
2021/06/08 7:02:35 AM GMT+5:30,Above 26,Once in two weeks,1 PKT,Yippee,Yes,"Spices(oregano, chili flakes, etc.)",No,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 7:07:49 AM GMT+5:30,18-26,Once in a month,1 PKT,Ching's,No,,Yes,"No, It's still the same",No,Yes,No,Yes
2021/06/08 7:09:00 AM GMT+5:30,18-26,Once in a month,2 PKTS,Yippee,Yes,Veggies,Yes,"No, It's still the same",No,Yes,No,No
2021/06/08 7:14:57 AM GMT+5:30,18-26,More than once in a week,1 PKT,Other,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,No,Yes
2021/06/08 7:35:32 AM GMT+5:30,18-26,Less often,1 PKT,Other,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"No, It's still the same",No,No,Yes,Yes
2021/06/08 12:25:33 PM GMT+5:30,18-26,Less often,2 PKTS,Yippee,No,,No,"Yes, It did",No,No,No,Yes
2021/06/08 3:43:20 PM GMT+5:30,18-26,More than once in a week,2 PKTS,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 3:45:40 PM GMT+5:30,18-26,Less often,1 PKT,Other,No,,No,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 3:48:48 PM GMT+5:30,18-26,Once in a week,2 PKTS,Yippee,Yes,"Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,Yes,No,Yes
2021/06/08 4:22:01 PM GMT+5:30,18-26,Less often,1 PKT,Other,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",No,"Yes, It did",No,No,No,No
2021/06/08 4:38:54 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 5:16:32 PM GMT+5:30,15-18,Once in a week,1 PKT,Other,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 5:29:04 PM GMT+5:30,18-26,Once in a month,1 PKT,Yippee,No,,Yes,"Yes, It did",No,Yes,No,Yes
2021/06/08 5:42:44 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 7:16:37 PM GMT+5:30,18-26,Once in a week,1 PKT,Other,Yes,"Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 7:44:40 PM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/08 7:50:40 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,No,,No,"Yes, It did",No,Yes,No,Yes
2021/06/08 8:22:36 PM GMT+5:30,18-26,Once in a week,2 PKTS,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.)",Yes,"Yes, It did",No,No,Yes,Yes
2021/06/08 8:35:57 PM GMT+5:30,18-26,Once in a month,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",Yes,Yes,Yes,Yes
2021/06/08 9:24:48 PM GMT+5:30,18-26,More than once in a week,1 PKT,Knorr,No,,Yes,"No, It's still the same",No,Yes,No,Yes
2021/06/08 10:56:32 PM GMT+5:30,18-26,More than once in a week,1 PKT,Other,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,No,No,No
2021/06/08 11:01:07 PM GMT+5:30,Above 26,Once in two weeks,1 PKT,Top Ramen,No,,Yes,"Yes, It did",No,Yes,Yes,No
2021/06/08 11:21:59 PM GMT+5:30,18-26,Once in two weeks,2 PKTS,Ching's,Yes,Cream/Cheese,No,"No, It's still the same",No,Yes,Yes,No
2021/06/09 12:45:24 AM GMT+5:30,18-26,Once in two weeks,1 PKT,Top Ramen,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/09 8:55:10 AM GMT+5:30,18-26,Once in two weeks,1 PKT,Ching's,Yes,"Spices(oregano, chili flakes, etc.);Other",No,"Yes, It did",No,Yes,No,No
2021/06/09 9:57:45 AM GMT+5:30,18-26,Once in two weeks,2 PKTS,Yippee,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"No, It's still the same",No,Yes,No,Yes
2021/06/09 10:04:45 AM GMT+5:30,18-26,Once in a month,1 PKT,Top Ramen,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"No, It's still the same",No,No,No,No
2021/06/09 10:45:14 AM GMT+5:30,18-26,Once in a week,2 PKTS,Other,No,,Yes,"No, It's still the same",No,Yes,Yes,No
2021/06/09 11:39:15 AM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,No,,No,"Yes, It did",No,Yes,Yes,Yes
2021/06/09 11:57:13 AM GMT+5:30,18-26,Once in a week,1 PKT,Knorr,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,Yes,No,No
2021/06/09 1:21:26 PM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,Veggies,No,"No, It's still the same",No,No,Yes,Yes
2021/06/09 2:37:44 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,No,,Yes,"Yes, It did",No,Yes,Yes,No
2021/06/09 2:39:39 PM GMT+5:30,18-26,Once in a month,2 PKTS,Other,No,,Yes,"Yes, It did",No,No,No,Yes
2021/06/09 2:42:24 PM GMT+5:30,18-26,More than once in a week,1 PKT,Other,No,,Yes,"No, It's still the same",No,No,No,No
2021/06/09 2:42:25 PM GMT+5:30,18-26,More than once in a week,1 PKT,Yippee,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"Yes, It did",No,No,No,No
2021/06/09 2:47:20 PM GMT+5:30,18-26,More than once in a week,1 PKT,Other,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese;Other",Yes,"Yes, It did",Yes,Yes,No,No
2021/06/09 3:01:43 PM GMT+5:30,18-26,Less often,2 PKTS,Top Ramen,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese;Other",Yes,"Yes, It did",No,No,No,No
2021/06/09 3:07:30 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Top Ramen,No,,Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/09 3:28:20 PM GMT+5:30,18-26,Less often,1 PKT,Yippee,Yes,Veggies,No,"No, It's still the same",No,No,Yes,Yes
2021/06/09 3:37:27 PM GMT+5:30,15-18,Less often,1 PKT,Knorr,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/09 3:41:17 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Top Ramen,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",Yes,Yes,Yes,No
2021/06/09 3:59:33 PM GMT+5:30,18-26,Once in a week,1 PKT,Knorr,No,,No,"Yes, It did",No,Yes,Yes,No
2021/06/09 4:43:01 PM GMT+5:30,18-26,Once in a week,2 PKTS,Knorr,No,,Yes,"No, It's still the same",No,No,Yes,Yes
2021/06/09 5:09:13 PM GMT+5:30,18-26,More than once in a week,1 PKT,Top Ramen,No,,Yes,"Yes, It did",No,Yes,No,Yes
2021/06/09 5:42:39 PM GMT+5:30,18-26,More than once in a week,1 PKT,Top Ramen,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",Yes,Yes,Yes,Yes
2021/06/09 5:46:09 PM GMT+5:30,18-26,Once in a month,1 PKT,Other,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/09 6:53:07 PM GMT+5:30,18-26,Once in a month,1 PKT,Other,Yes,Veggies,No,"Yes, It did",No,No,No,Yes
2021/06/09 7:17:01 PM GMT+5:30,18-26,Once in a week,1 PKT,Other,Yes,Sauces,Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/09 7:45:59 PM GMT+5:30,18-26,More than once in a week,1 PKT,Top Ramen,No,,Yes,"Yes, It did",No,Yes,No,Yes
2021/06/09 8:03:44 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Ching's,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,No,Yes
2021/06/09 9:18:33 PM GMT+5:30,18-26,More than once in a week,2 PKTS,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese;Other",Yes,"No, It's still the same",No,Yes,Yes,No
2021/06/10 12:05:32 PM GMT+5:30,18-26,Less often,2 PKTS,Yippee,No,,Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/10 12:14:06 PM GMT+5:30,18-26,Once in a month,2 PKTS,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/10 12:22:22 PM GMT+5:30,18-26,More than once in a week,2 PKTS,Top Ramen,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",Yes,Yes,Yes,Yes
2021/06/10 12:46:14 PM GMT+5:30,18-26,Once in a month,1 PKT,Top Ramen,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",No,"Yes, It did",No,Yes,Yes,No
2021/06/10 2:07:09 PM GMT+5:30,18-26,Once in a month,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.)",Yes,"Yes, It did",No,Yes,Yes,Yes
